序号,条文编号,法律全称,标题,条文原文,keywords,scenario_tags,用途分类,完成状态
141,民法典第143条,中华人民共和国民法典,民事法律行为有效要件,"具备下列条件的民事法律行为有效：（一）行为人具有相应的民事行为能力；（二）意思表示真实；（三）不违反法律、行政法规的强制性规定，不违背公序良俗。","民事法律行为,行为能力,意思表示真实,公序良俗","合同效力,主体认定",程序依据,待录入JSON
142,民法典第144条,中华人民共和国民法典,无民事行为能力人行为无效,"无民事行为能力人实施的民事法律行为无效。","无民事行为能力,无效","主体认定,合同效力",被告识别,待录入JSON
143,民法典第146条,中华人民共和国民法典,虚假意思表示,"行为人与相对人以虚假的意思表示实施的民事法律行为无效。以虚假的意思表示隐藏的民事法律行为的效力，依照有关法律规定处理。","虚假意思表示,隐藏行为,无效","合同效力",风险评分,待录入JSON
144,民法典第148条,中华人民共和国民法典,欺诈可撤销,"一方以欺诈手段，使对方在违背真实意思的情况下实施的民事法律行为，受欺诈方有权请求人民法院或者仲裁机构予以撤销。","欺诈,撤销,真实意思","合同效力",被告识别,待录入JSON
145,民法典第150条,中华人民共和国民法典,胁迫可撤销,"一方或者第三人以胁迫手段，使对方在违背真实意思的情况下实施的民事法律行为，受胁迫方有权请求人民法院或者仲裁机构予以撤销。","胁迫,撤销","合同效力",被告识别,待录入JSON
146,民法典第151条,中华人民共和国民法典,显失公平可撤销,"一方利用对方处于危困状态、缺乏判断能力等情形，致使民事法律行为成立时显失公平的，受损害方有权请求人民法院或者仲裁机构予以撤销。","显失公平,危困状态,撤销","合同效力,工资计算",风险评分,待录入JSON
147,民法典第153条,中华人民共和国民法典,违反强制性规定无效,"违反法律、行政法规的强制性规定的民事法律行为无效。但是，该强制性规定不导致该民事法律行为无效的除外。违背公序良俗的民事法律行为无效。","强制性规定,公序良俗,无效","合同效力",风险评分,待录入JSON
148,民法典第157条,中华人民共和国民法典,无效或被撤销的后果,"民事法律行为无效、被撤销或者确定不发生效力后，行为人因该行为取得的财产，应当予以返还；不能返还或者没有必要返还的，应当折价补偿。有过错的一方应当赔偿对方由此所受到的损失；各方都有过错的，应当各自承担相应的责任。","无效后果,返还财产,折价补偿,过错赔偿","合同效力,工资计算",风险评分,待录入JSON
149,民法典第176条,中华人民共和国民法典,民事责任,"民事主体依照法律规定或者按照当事人约定，履行民事义务，承担民事责任。","民事责任,履行义务","民事责任",被告识别,待录入JSON
150,民法典第177条,中华人民共和国民法典,按份责任,"二人以上依法承担按份责任，能够确定责任大小的，各自承担相应的责任；难以确定责任大小的，平均承担责任。","按份责任,责任大小,平均承担","连带责任,按份责任",被告识别,待录入JSON
151,民法典第178条,中华人民共和国民法典,连带责任,"二人以上依法承担连带责任的，权利人有权请求部分或者全部连带责任人承担责任。连带责任人的责任份额根据各自责任大小确定；难以确定责任大小的，平均承担责任。实际承担责任超过自己责任份额的连带责任人，有权向其他连带责任人追偿。连带责任，由法律规定或者当事人约定。","连带责任,全部责任,追偿","连带责任,被告追加",被告识别,待录入JSON
152,民法典第186条,中华人民共和国民法典,责任竞合,"因当事人一方的违约行为，损害对方人身权益、财产权益的，受损害方有权选择请求其承担违约责任或者侵权责任。","违约行为,侵权责任,责任竞合","违约责任,侵权责任",被告识别,待录入JSON
153,民法典第189条,中华人民共和国民法典,分期履行债务诉讼时效,"当事人约定同一债务分期履行的，诉讼时效期间自最后一期履行期限届满之日起计算。","分期履行,诉讼时效,最后一期","诉讼时效",预警触发,待录入JSON
154,民法典第194条,中华人民共和国民法典,诉讼时效中止,"在诉讼时效期间的最后六个月内，因下列障碍，不能行使请求权的，诉讼时效中止：（一）不可抗力；（二）无民事行为能力人或者限制民事行为能力人没有法定代理人，或者法定代理人死亡、丧失民事行为能力、丧失代理权；（三）继承开始后未确定继承人或者遗产管理人；（四）权利人被义务人或者其他人控制；（五）其他导致权利人不能行使请求权的障碍。自中止时效的原因消除之日起满六个月，诉讼时效期间届满。","诉讼时效中止,不可抗力,障碍","诉讼时效",预警触发,待录入JSON
155,民法典第196条,中华人民共和国民法典,不适用诉讼时效的情形,"下列请求权不适用诉讼时效的规定：（一）请求停止侵害、排除妨碍、消除危险；（二）不动产物权和登记的动产物权的权利人请求返还财产；（三）请求支付抚养费、赡养费或者扶养费；（四）依法不适用诉讼时效的其他请求权。","诉讼时效,不适用,抚养费赡养费","诉讼时效",预警触发,待录入JSON
156,民法典第197条,中华人民共和国民法典,诉讼时效法定,"诉讼时效的期间、计算方法以及中止、中断的事由由法律规定，当事人约定无效。当事人对诉讼时效利益的预先放弃无效。","诉讼时效法定,约定无效,预先放弃无效","诉讼时效",预警触发,待录入JSON
157,民法典第199条,中华人民共和国民法典,除斥期间,"法律规定或者当事人约定的撤销权、解除权等权利的存续期间，除法律另有规定外，自权利人知道或者应当知道权利产生之日起计算，不适用有关诉讼时效中止、中断和延长的规定。存续期间届满，撤销权、解除权等权利消灭。","除斥期间,撤销权,解除权,不变期间","诉讼时效,除斥期间",预警触发,待录入JSON
158,民法典第467条,中华人民共和国民法典,无名合同适用,"本法或者其他法律没有明文规定的合同，适用本编通则的规定，并可以参照适用本编或者其他法律最相类似合同的规定。","无名合同,参照适用,最相类似","劳务合同,合同适用",程序依据,待录入JSON
159,民法典第469条,中华人民共和国民法典,合同订立形式,"当事人订立合同，可以采用书面形式、口头形式或者其他形式。书面形式是合同书、信件、电报、电传、传真等可以有形地表现所载内容的形式。以电子数据交换、电子邮件等方式能够有形地表现所载内容，并可以随时调取查用的数据电文，视为书面形式。","书面形式,口头形式,电子数据,数据电文","合同形式,证据材料",风险评分,待录入JSON
160,民法典第470条,中华人民共和国民法典,合同内容,"合同的内容由当事人约定，一般包括下列条款：（一）当事人的姓名或者名称和住所；（二）标的；（三）数量；（四）质量；（五）价款或者报酬；（六）履行期限、地点和方式；（七）违约责任；（八）解决争议的方法。","合同条款,价款报酬,违约责任","合同内容,工资计算",风险评分,待录入JSON
161,民法典第471条,中华人民共和国民法典,合同订立方式,"当事人订立合同，可以采取要约、承诺方式或者其他方式。","要约,承诺,订立合同","合同订立",程序依据,待录入JSON
162,民法典第490条,中华人民共和国民法典,合同成立时间,"当事人采用合同书形式订立合同的，自当事人均签名、盖章或者按指印时合同成立。在签名、盖章或者按指印之前，当事人一方已经履行主要义务，对方接受时，该合同成立。","合同成立,签名盖章,履行主要义务","合同成立,事实履行",风险评分,待录入JSON
163,民法典第495条,中华人民共和国民法典,预约合同,"当事人约定在将来一定期限内订立合同的认购书、订购书、预订书等，构成预约合同。当事人一方不履行预约合同约定的订立合同义务的，对方可以请求其承担预约合同的违约责任。","预约合同,认购书,违约责任","合同订立",程序依据,待录入JSON
164,民法典第496条,中华人民共和国民法典,格式条款,"格式条款是当事人为了重复使用而预先拟定，并在订立合同时未与对方协商的条款。采用格式条款订立合同的，提供格式条款的一方应当遵循公平原则确定当事人之间的权利和义务，并采取合理的方式提示对方注意免除或者减轻其责任等与对方有重大利害关系的条款，按照对方的要求，对该条款予以说明。","格式条款,预先拟定,提示说明,重大利害关系","格式条款,合同效力",风险评分,待录入JSON
