序号,条文编号,法律全称,标题,条文原文,keywords,scenario_tags,用途分类,完成状态
052,指导意见第1条,关于办理民事支持起诉案件若干问题的指导意见,支持起诉定义,"民事权益受到损害的当事人，具有起诉维权意愿，但因诉讼能力弱、不敢或者不能独立提起民事诉讼的，人民检察院可以依照民事诉讼法第十五条等规定支持其向人民法院提起民事诉讼。未成年人合法权益受到侵犯，相关组织和个人未代为提起诉讼的，人民检察院可以督促、支持其提起诉讼。","支持起诉,诉讼能力弱,民事诉讼","支持起诉条件,主体认定",程序依据,待录入JSON
053,指导意见第2条,关于办理民事支持起诉案件若干问题的指导意见,当事人意思自治,"民事支持起诉活动中，当事人有权依法处分享有的民事诉讼权利和民事实体权利。人民法院、人民检察院应当充分尊重当事人意愿。","处分权,意思自治","程序原则",程序依据,待录入JSON
054,指导意见第3条,关于办理民事支持起诉案件若干问题的指导意见,法检协作,"人民法院支持人民检察院依法履行支持起诉职能，共同保障诉讼活动顺利进行、当事人平等行使诉讼权利。","法检协作,支持起诉职能","程序协作",程序依据,待录入JSON
055,指导意见第4条,关于办理民事支持起诉案件若干问题的指导意见,适用范围,"有下列情形之一，当事人提起诉讼确有困难的，可以向人民检察院申请民事支持起诉：（一）农民工追索劳动报酬；（二）因年老、疾病、缺乏劳动能力等不能独立生活或者生活困难，追索扶养费、赡养费；（三）家庭暴力受害人请求离婚、损害赔偿或者向人民法院申请人身安全保护令；（四）残疾人的人身权利、财产权利或者其他合法权益遭受侵害；（五）未成年人的人身权利、财产权利或者其他合法权益遭受侵害；（六）军人、军人家属和烈士、因公牺牲军人、病故军人遗属的人身权利、财产权利或者其他合法权益遭受侵害；（七）依照法律规定可以支持起诉的其他情形。","支持起诉,农民工,劳动报酬,追索扶养费,赡养费,家庭暴力,人身安全保护令,残疾人,未成年人,军人军属","支持起诉条件,农民工讨薪,弱势群体","被告识别,预警触发",待录入JSON
056,指导意见第5条,关于办理民事支持起诉案件若干问题的指导意见,申请材料,"当事人向人民检察院申请民事支持起诉，应当提交申请书、身份证明材料以及证据材料。当事人书写申请书确有困难的，可以口头申请，由人民检察院记入笔录。","申请书,身份证明,证据材料,口头申请","证据材料,申请受理",程序依据,待录入JSON
057,指导意见第6条,关于办理民事支持起诉案件若干问题的指导意见,先行引导,"人民检察院受理民事支持起诉案件后，可以先行引导当事人要求有关国家机关、社会团体依法履行职责或者要求有关主体依法履行义务。","先行引导,履职","前置程序",治理建议,待录入JSON
058,指导意见第7条,关于办理民事支持起诉案件若干问题的指导意见,法律释明,"人民检察院办理民事支持起诉案件，应当做好法律释明工作，协助当事人明确诉讼请求。","法律释明,诉讼请求","程序协助",程序依据,待录入JSON
059,指导意见第8条,关于办理民事支持起诉案件若干问题的指导意见,证据收集与协助,"对于法定起诉和受理条件所需要的证据材料，一般由当事人自行收集。人民检察院办理民事支持起诉案件，可以为当事人提供法律咨询、协调申请法律援助、提出支持起诉意见、依法调取相关材料等帮助。","证据收集,法律咨询,法律援助,调取材料","证据材料,证据完整性,维权渠道","程序依据,风险评分",待录入JSON
060,指导意见第9条,关于办理民事支持起诉案件若干问题的指导意见,引导和解,"人民检察院在办理民事支持起诉案件过程中，可以引导支持当事人达成和解。","和解,调解","纠纷化解",治理建议,待录入JSON
061,指导意见第10条,关于办理民事支持起诉案件若干问题的指导意见,支持起诉条件,"经审查符合本意见规定的民事支持起诉案件范围且符合法定起诉条件的，人民检察院可以支持当事人向人民法院起诉。","支持起诉,起诉条件","支持起诉条件",程序依据,待录入JSON
062,指导意见第11条,关于办理民事支持起诉案件若干问题的指导意见,支持起诉意见书内容,"人民检察院决定支持起诉的，应当制作《支持起诉意见书》，载明支持起诉对象、当事人的诉讼请求、支持起诉事实、理由和依据等内容。支持起诉意见应当依法提出，不得超出当事人的诉讼请求范围。人民检察院决定不支持起诉的，应当告知当事人。","支持起诉意见书,支持起诉书,诉讼请求,事实理由,依据","文书生成,事实与理由",文书生成,待录入JSON
063,指导意见第12条,关于办理民事支持起诉案件若干问题的指导意见,告知法院,"人民检察院作出支持起诉决定的，应当将相关意见告知同级人民法院。","告知法院,支持起诉决定","程序衔接",程序依据,待录入JSON
064,指导意见第13条,关于办理民事支持起诉案件若干问题的指导意见,裁判文书送达,"人民法院应当将制作的裁判文书在送达当事人的同时，送交支持起诉的人民检察院；不制作调解书的案件，人民法院应当将调解结果书面告知支持起诉的人民检察院。","裁判文书,调解结果,送达","程序衔接,效果评估",程序依据,待录入JSON
065,指导意见第14条,关于办理民事支持起诉案件若干问题的指导意见,公益诉讼,"对破坏生态环境和资源保护、食品药品安全领域侵害众多消费者合法权益等损害社会公共利益的行为，属于民事公益诉讼案件范围的，依照公益诉讼相关规定办理。","公益诉讼,生态环境,食品药品安全","公益诉讼",程序依据,待录入JSON
066,指导意见第15条,关于办理民事支持起诉案件若干问题的指导意见,司法建议与检察建议,"人民法院、人民检察院办理民事支持起诉案件，可以通过提出司法建议、检察建议等方式，督促协调有关部门和单位履职尽责；发现违法犯罪线索的，应当依照法律有关规定办理。","司法建议,检察建议,督促履职,犯罪线索","治理建议,执法衔接",治理建议,待录入JSON
067,指导意见第16条,关于办理民事支持起诉案件若干问题的指导意见,施行日期,"本意见自2026年3月2日起施行。","施行日期","程序信息",程序依据,待录入JSON
