序号,条文编号,法律全称,标题,条文原文,keywords,scenario_tags,用途分类,完成状态
001,工资条例第1条,保障农民工工资支付条例,立法目的,"为了规范农民工工资支付行为，保障农民工按时足额获得工资，根据《中华人民共和国劳动法》及有关法律规定，制定本条例。","农民工工资,按时足额","工资支付",程序依据,待录入JSON
002,工资条例第2条,保障农民工工资支付条例,适用范围与定义,"保障农民工工资支付，适用本条例。本条例所称农民工，是指为用人单位提供劳动的农村居民。本条例所称工资，是指农民工为用人单位提供劳动后应当获得的劳动报酬。","农民工,农村居民,劳动报酬","主体认定",程序依据,待录入JSON
003,工资条例第3条,保障农民工工资支付条例,农民工工资权利,"农民工有按时足额获得工资的权利。任何单位和个人不得拖欠农民工工资。农民工应当遵守劳动纪律和职业道德，执行劳动安全卫生规程，完成劳动任务。","农民工工资,按时足额,拖欠工资","工资支付,欠薪风险",预警触发,待录入JSON
004,工资条例第4条,保障农民工工资支付条例,政府职责与矛盾排查,"县级以上地方人民政府对本行政区域内保障农民工工资支付工作负责，建立保障农民工工资支付工作协调机制，加强监管能力建设，健全保障农民工工资支付工作目标责任制，并纳入对本级人民政府有关部门和下级人民政府进行考核和监督的内容。乡镇人民政府、街道办事处应当加强对拖欠农民工工资矛盾的排查和调处工作，防范和化解矛盾，及时调解纠纷。","协调机制,矛盾排查,调解纠纷","基层治理",治理建议,待录入JSON
005,工资条例第6条,保障农民工工资支付条例,实名制与工资约定,"用人单位实行农民工劳动用工实名制管理，与招用的农民工书面约定或者通过依法制定的规章制度规定工资支付标准、支付时间、支付方式等内容。","实名制管理,书面约定,工资支付标准","合规审查,用工规范",风险评分,待录入JSON
006,工资条例第7条,保障农民工工资支付条例,部门职责与违法行为督办,"人力资源社会保障行政部门负责保障农民工工资支付工作的组织协调、管理指导和农民工工资支付情况的监督检查，查处有关拖欠农民工工资案件。住房城乡建设、交通运输、水利等相关行业工程建设主管部门按照职责履行行业监管责任，督办因违法发包、转包、违法分包、挂靠、拖欠工程款等导致的拖欠农民工工资案件。","违法发包,转包,违法分包,挂靠,失信惩戒","承包链条,信用监管",风险评分,待录入JSON
007,工资条例第10条,保障农民工工资支付条例,维权渠道,"被拖欠工资的农民工有权依法投诉，或者申请劳动争议调解仲裁和提起诉讼。任何单位和个人对拖欠农民工工资的行为，有权向人力资源社会保障行政部门或者其他有关部门举报。","投诉,调解仲裁,诉讼,举报","维权渠道",程序依据,待录入JSON
008,工资条例第15条,保障农民工工资支付条例,工资支付台账与工资清单,"用人单位应当按照工资支付周期编制书面工资支付台账，并至少保存3年。书面工资支付台账应当包括用人单位名称，支付周期，支付日期，支付对象姓名、身份证号码、联系方式，工作时间，应发工资项目及数额，代扣、代缴、扣除项目和数额，实发工资数额，银行代发工资凭证或者农民工签字等内容。用人单位向农民工支付工资时，应当提供农民工本人的工资清单。","花名册,工资册,考勤,工资台账,工资清单,保存义务","证据材料,欠薪计算方式",风险评分,待录入JSON
009,工资条例第16条,保障农民工工资支付条例,工资清偿原则,"用人单位拖欠农民工工资的，应当依法予以清偿。","拖欠工资,依法清偿","工资清偿",被告识别,待录入JSON
