序号,条文编号,法律全称,标题,条文原文,keywords,scenario_tags,用途分类,完成状态
068,民诉法第3条,中华人民共和国民事诉讼法,适用范围,"人民法院受理公民之间、法人之间、其他组织之间以及他们相互之间因财产关系和人身关系提起的民事诉讼，适用本法的规定。","财产关系,人身关系,民事诉讼","适用范围",程序依据,待录入JSON
069,民诉法第7条,中华人民共和国民事诉讼法,以事实为依据以法律为准绳,"人民法院审理民事案件，必须以事实为根据，以法律为准绳。","事实根据,法律准绳,审理原则","审判原则",程序依据,待录入JSON
070,民诉法第12条,中华人民共和国民事诉讼法,辩论原则,"人民法院审理民事案件时，当事人有权进行辩论。","辩论权,法庭辩论","诉讼权利",程序依据,待录入JSON
071,民诉法第36条,中华人民共和国民事诉讼法,共同管辖,"两个以上人民法院都有管辖权的诉讼，原告可以向其中一个人民法院起诉；原告向两个以上有管辖权的人民法院起诉的，由最先立案的人民法院管辖。","共同管辖,最先立案,选择管辖","管辖审查",程序依据,待录入JSON
072,民诉法第40条,中华人民共和国民事诉讼法,一审审判组织,"人民法院审理第一审民事案件，由审判员、人民陪审员共同组成合议庭或者由审判员组成合议庭。适用简易程序审理的民事案件，由审判员一人独任审理。","合议庭,人民陪审员,独任审理","审判组织",程序依据,待录入JSON
073,民诉法第47条,中华人民共和国民事诉讼法,回避制度,"审判人员有下列情形之一的，应当自行回避，当事人有权用口头或者书面方式申请他们回避：（一）是本案当事人或者当事人、诉讼代理人近亲属的；（二）与本案有利害关系的；（三）与本案当事人、诉讼代理人有其他关系，可能影响对案件公正审理的。","回避,近亲属,利害关系,公正审理","回避制度",程序依据,待录入JSON
074,民诉法第51条,中华人民共和国民事诉讼法,当事人资格,"公民、法人和其他组织可以作为民事诉讼的当事人。法人由其法定代表人进行诉讼。其他组织由其主要负责人进行诉讼。","当事人资格,公民,法人,其他组织,法定代表人","当事人资格,主体认定",被告识别,待录入JSON
075,民诉法第59条,中华人民共和国民事诉讼法,第三人,"对当事人双方的诉讼标的，第三人认为有独立请求权的，有权提起诉讼。对当事人双方的诉讼标的，第三人虽然没有独立请求权，但案件处理结果同他有法律上的利害关系的，可以申请参加诉讼，或者由人民法院通知他参加诉讼。","第三人,独立请求权,利害关系,参加诉讼","第三人,诉讼参加",被告识别,待录入JSON
076,民诉法第60条,中华人民共和国民事诉讼法,法定代理人,"无诉讼行为能力人由他的监护人作为法定代理人代为诉讼。法定代理人之间互相推诿代理责任的，由人民法院指定其中一人代为诉讼。","法定代理人,监护人,无诉讼行为能力","诉讼代理",程序依据,待录入JSON
077,民诉法第64条,中华人民共和国民事诉讼法,律师调查取证权,"代理诉讼的律师和其他诉讼代理人有权调查收集证据，可以查阅本案有关材料。","律师调查取证,查阅案卷","证据收集,诉讼代理",程序依据,待录入JSON
